Date,Open,High,Low,Close,Volume,EU_Trend,Price
07/09/2012,167.770004,169,167.369995,OPEN,19138600,1,114.25
10/09/2012,167.839996,168.139999,167.229996,CLOSE,7760600,0,114.81
11/09/2012,168.220001,168.529999,167.789993,OPEN,7522900,1,115.4
12/09/2012,168.839996,168.869995,167.25,OPEN,9945400,1,115.96
13/09/2012,167.869995,171.910004,166.300003,CLOSE,28336900,1,116.9
14/09/2012,171.889999,172.229996,171.309998,OPEN,16847500,1,116.66
17/09/2012,171.770004,171.960007,170.059998,CLOSE,11281600,0,113.79
18/09/2012,170.809998,171.949997,170.669998,OPEN,12486600,0,112.03
19/09/2012,171.880005,172.029999,171.190002,CLOSE,9125800,1,108.19
20/09/2012,171.029999,171.690002,170.229996,OPEN,8703000,0,110.03
21/09/2012,172.929993,173.179993,171.539993,CLOSE,13361300,1,111.42
24/09/2012,170.630005,171.389999,170.570007,OPEN,9177900,0,109.81
25/09/2012,171.759995,172.110001,170.5,CLOSE,10365300,0,110.45
26/09/2012,169.460007,170.050003,168.339996,OPEN,12064800,0,110.04
27/09/2012,171.020004,172.600006,170.759995,CLOSE,10539500,1,112.01
28/09/2012,172.029999,172.479996,171.339996,OPEN,9681200,0,112.39
01/10/2012,172.830002,173.619995,171.770004,OPEN,10676400,1,112.19
03/10/2012,172.509995,172.610001,171.889999,CLOSE,5647600,0,108.17
04/10/2012,173.199997,174.070007,172.919998,OPEN,10376800,1,112.58
05/10/2012,172.869995,173.369995,172.009995,CLOSE,8871000,1,112.02
09/10/2012,171.860001,172.169998,170.559998,OPEN,7750700,0,114.5
10/10/2012,170.539993,171.339996,170.300003,CLOSE,7361300,0,114.33
11/10/2012,171.300003,171.949997,171.130005,OPEN,5714900,1,115.71
12/10/2012,171.149994,171.410004,169.809998,CLOSE,8266000,1,114.62
15/10/2012,169.009995,169.100006,167.529999,OPEN,10704900,1,115.8
16/10/2012,168.869995,169.449997,168.669998,CLOSE,6204000,1,115.07
17/10/2012,169.210007,169.949997,168.919998,OPEN,5203400,1,113.22
18/10/2012,168.800003,169.309998,168.589996,CLOSE,6607100,0,112.42
19/10/2012,168.419998,168.449997,166.229996,OPEN,13860400,0,110.14
22/10/2012,167.080002,167.630005,167.029999,OPEN,6366200,1,109.44
23/10/2012,166.039993,166.059998,165.119995,CLOSE,11892500,0,108.25
24/10/2012,165.779999,165.830002,164.600006,OPEN,10794600,0,107.85
25/10/2012,166.289993,166.529999,165.770004,CLOSE,7013800,0,108.49
26/10/2012,166.229996,166.600006,165.770004,OPEN,6441300,1,109.55
